# ell	Dl_AxP	Delta_AxP	Dl_PxP	Delta_PxP
55.0	-3.800121	2.509195	-6.116198	3.514784
85.5	-14.823265	3.876820	-21.063890	4.687800
115.5	-27.517022	5.523288	-23.058382	5.325485
145.5	-46.434358	7.016353	-37.518351	8.849210
175.5	-25.261540	9.061710	-41.346730	9.745437
205.5	-14.259797	10.149567	0.475316	10.348207
235.5	42.543745	11.519518	13.714232	10.274776
265.5	69.028887	13.293097	68.829085	12.041152
295.5	76.395672	14.691120	108.573973	11.596631
325.5	117.945062	16.620414	112.141386	12.888348
355.5	40.271596	15.976201	87.874788	12.623103
385.5	24.046461	17.048880	33.514528	9.379322
415.5	-51.229650	20.708313	-42.564718	10.431913
