# ell I QU
60 9.040005e-02 7.270800e-01
102 4.468743e-01 8.612486e-01
150 8.647300e-01 9.098022e-01
200 9.436220e-01 9.471254e-01
250 9.389363e-01 9.316294e-01
300 9.437535e-01 9.510233e-01
350 9.303113e-01 9.514690e-01
400 9.534001e-01 9.495226e-01
450 9.518457e-01 9.583475e-01
500 9.304586e-01 9.522646e-01
550 9.265222e-01 9.583474e-01
600 9.399706e-01 9.587099e-01
650 9.341075e-01 9.597659e-01
700 9.368644e-01 9.530981e-01
750 9.439856e-01 9.647445e-01
800 9.529922e-01 9.636752e-01
850 9.634664e-01 9.678744e-01
900 9.718374e-01 9.799520e-01
950 9.688415e-01 9.811700e-01
1000 9.695241e-01 9.739850e-01
1050 9.825310e-01 9.859835e-01
1100 9.872550e-01 9.892113e-01
1150 9.883169e-01 9.910086e-01
1200 9.947437e-01 9.954794e-01
1250 9.965126e-01 9.953428e-01
1300 1.000506e+00 9.959924e-01
1350 9.990089e-01 9.955990e-01
1400 9.959316e-01 9.966475e-01
1450 9.946114e-01 9.921677e-01
1500 9.920960e-01 9.922200e-01
1550 9.938660e-01 9.969713e-01
1600 9.878436e-01 9.871323e-01
1650 9.891979e-01 9.905794e-01
1700 9.886436e-01 9.898093e-01
1750 9.869049e-01 9.857705e-01
1800 9.901318e-01 9.909094e-01
1850 9.920325e-01 9.880812e-01
1900 9.865048e-01 9.880956e-01
1950 9.895469e-01 9.941892e-01
2000 9.919010e-01 9.909838e-01
2075 9.938355e-01 9.950554e-01
2175 9.969464e-01 9.979588e-01
2275 9.980585e-01 9.956605e-01
2375 9.966359e-01 9.986760e-01
2475 9.970289e-01 9.973191e-01
2625 9.969139e-01 9.964793e-01
2825 9.971620e-01 9.990551e-01
3025 9.966221e-01 9.977428e-01
3325 9.978705e-01 9.961050e-01
3725 9.984598e-01 9.973887e-01
4125 9.984665e-01 9.979251e-01
4525 9.980991e-01 9.976860e-01
4925 9.978857e-01 9.981750e-01
5325 9.980468e-01 9.971774e-01
5725 9.982553e-01 9.967113e-01
6034 9.981695e-01 9.996657e-01
