# ell TT TE EE BB
0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2 1.163297e+03 3.745698e+00 5.685841e-02 1.858283e-06
3 5.481732e+02 2.360413e+00 4.818435e-02 1.859186e-06
4 3.091290e+02 1.465082e+00 3.375891e-02 1.860371e-06
5 1.956451e+02 9.147346e-01 2.081605e-02 1.861823e-06
6 1.342522e+02 5.749742e-01 1.147371e-02 1.863521e-06
7 9.779326e+01 3.638324e-01 5.704059e-03 1.865444e-06
8 7.455438e+01 2.318526e-01 2.622320e-03 1.867567e-06
9 5.890739e+01 1.493858e-01 1.213497e-03 1.869865e-06
10 4.788777e+01 9.834490e-02 6.687350e-04 1.872308e-06
11 3.984346e+01 6.737797e-02 4.777720e-04 1.874869e-06
12 3.379256e+01 4.908515e-02 3.873284e-04 1.877518e-06
13 2.911518e+01 3.860198e-02 3.097922e-04 1.880226e-06
14 2.541289e+01 3.276008e-02 2.363165e-04 1.882966e-06
15 2.243823e+01 2.949480e-02 1.789621e-04 1.885710e-06
16 2.000937e+01 2.750334e-02 1.442086e-04 1.888434e-06
17 1.799004e+01 2.604695e-02 1.283030e-04 1.891116e-06
18 1.629409e+01 2.473684e-02 1.221494e-04 1.893734e-06
19 1.485735e+01 2.343180e-02 1.190591e-04 1.896272e-06
20 1.362379e+01 2.206650e-02 1.145242e-04 1.898714e-06
21 1.255785e+01 2.068235e-02 1.092746e-04 1.901051e-06
22 1.163042e+01 1.934223e-02 1.052212e-04 1.903274e-06
23 1.081752e+01 1.808804e-02 1.037621e-04 1.905377e-06
24 1.009847e+01 1.695302e-02 1.057619e-04 1.907359e-06
25 9.460303e+00 1.595679e-02 1.104653e-04 1.909221e-06
26 8.892024e+00 1.510780e-02 1.167880e-04 1.910966e-06
27 8.382554e+00 1.438366e-02 1.239494e-04 1.912601e-06
28 7.921876e+00 1.375422e-02 1.313610e-04 1.914132e-06
29 7.504270e+00 1.318924e-02 1.388973e-04 1.915570e-06
30 7.125084e+00 1.265842e-02 1.465488e-04 1.916926e-06
31 6.779822e+00 1.213462e-02 1.542776e-04 1.918211e-06
32 6.464599e+00 1.160312e-02 1.619329e-04 1.919437e-06
33 6.175681e+00 1.105232e-02 1.693355e-04 1.920617e-06
34 5.909643e+00 1.047379e-02 1.763665e-04 1.921762e-06
35 5.664292e+00 9.871750e-03 1.831487e-04 1.922884e-06
36 5.437746e+00 9.253597e-03 1.898651e-04 1.923993e-06
37 5.228162e+00 8.626831e-03 1.966687e-04 1.925100e-06
38 5.033862e+00 7.999420e-03 2.035922e-04 1.926210e-06
39 4.853210e+00 7.379451e-03 2.106380e-04 1.927330e-06
40 4.684569e+00 6.775007e-03 2.178086e-04 1.928466e-06
41 4.526475e+00 6.192224e-03 2.250986e-04 1.929621e-06
42 4.378151e+00 5.629428e-03 2.324703e-04 1.930796e-06
43 4.238991e+00 5.082998e-03 2.398778e-04 1.931990e-06
44 4.108390e+00 4.549312e-03 2.472756e-04 1.933202e-06
45 3.985742e+00 4.025010e-03 2.546248e-04 1.934430e-06
46 3.870431e+00 3.507788e-03 2.619137e-04 1.935668e-06
47 3.761841e+00 2.995604e-03 2.691377e-04 1.936912e-06
48 3.659357e+00 2.486417e-03 2.762921e-04 1.938155e-06
49 3.562362e+00 1.978187e-03 2.833721e-04 1.939392e-06
50 3.470303e+00 1.469666e-03 2.903731e-04 1.940615e-06
51 3.382882e+00 9.627884e-04 2.972916e-04 1.941819e-06
52 3.299866e+00 4.602826e-04 3.041240e-04 1.942998e-06
53 3.221019e+00 -3.512306e-05 3.108666e-04 1.944145e-06
54 3.146108e+00 -5.207001e-04 3.175161e-04 1.945253e-06
55 3.074901e+00 -9.943212e-04 3.240692e-04 1.946318e-06
56 3.007174e+00 -1.456264e-03 3.305236e-04 1.947338e-06
57 2.942705e+00 -1.907406e-03 3.368773e-04 1.948310e-06
58 2.881274e+00 -2.348625e-03 3.431284e-04 1.949233e-06
59 2.822659e+00 -2.780801e-03 3.492750e-04 1.950107e-06
60 2.766639e+00 -3.204811e-03 3.553150e-04 1.950929e-06
61 2.713012e+00 -3.621388e-03 3.612459e-04 1.951700e-06
62 2.661655e+00 -4.030680e-03 3.670622e-04 1.952423e-06
63 2.612463e+00 -4.432687e-03 3.727578e-04 1.953103e-06
64 2.565332e+00 -4.827412e-03 3.783267e-04 1.953743e-06
65 2.520159e+00 -5.214856e-03 3.837627e-04 1.954349e-06
66 2.476839e+00 -5.595021e-03 3.890598e-04 1.954924e-06
67 2.435269e+00 -5.967909e-03 3.942119e-04 1.955475e-06
68 2.395348e+00 -6.333520e-03 3.992140e-04 1.956004e-06
69 2.357000e+00 -6.691854e-03 4.040662e-04 1.956515e-06
70 2.320150e+00 -7.042908e-03 4.087694e-04 1.957014e-06
71 2.284725e+00 -7.386682e-03 4.133249e-04 1.957502e-06
72 2.250651e+00 -7.723174e-03 4.177338e-04 1.957985e-06
73 2.217855e+00 -8.052381e-03 4.219971e-04 1.958465e-06
74 2.186263e+00 -8.374303e-03 4.261160e-04 1.958948e-06
75 2.155802e+00 -8.688937e-03 4.300916e-04 1.959435e-06
76 2.126403e+00 -8.996259e-03 4.339237e-04 1.959931e-06
77 2.098021e+00 -9.296151e-03 4.376071e-04 1.960436e-06
78 2.070613e+00 -9.588474e-03 4.411353e-04 1.960948e-06
79 2.044139e+00 -9.873086e-03 4.445017e-04 1.961466e-06
80 2.018558e+00 -1.014985e-02 4.476998e-04 1.961989e-06
81 1.993828e+00 -1.041862e-02 4.507230e-04 1.962518e-06
82 1.969908e+00 -1.067926e-02 4.535649e-04 1.963049e-06
83 1.946757e+00 -1.093162e-02 4.562189e-04 1.963584e-06
84 1.924337e+00 -1.117563e-02 4.586801e-04 1.964120e-06
85 1.902618e+00 -1.141142e-02 4.609503e-04 1.964657e-06
86 1.881575e+00 -1.163917e-02 4.630327e-04 1.965196e-06
87 1.861181e+00 -1.185908e-02 4.649308e-04 1.965735e-06
88 1.841411e+00 -1.207133e-02 4.666479e-04 1.966275e-06
89 1.822238e+00 -1.227612e-02 4.681872e-04 1.966814e-06
90 1.803636e+00 -1.247363e-02 4.695523e-04 1.967353e-06
91 1.785579e+00 -1.266406e-02 4.707465e-04 1.967892e-06
92 1.768041e+00 -1.284759e-02 4.717730e-04 1.968429e-06
93 1.750998e+00 -1.302436e-02 4.726347e-04 1.968966e-06
94 1.734430e+00 -1.319436e-02 4.733320e-04 1.969504e-06
95 1.718320e+00 -1.335752e-02 4.738646e-04 1.970048e-06
96 1.702650e+00 -1.351376e-02 4.742326e-04 1.970601e-06
97 1.687404e+00 -1.366301e-02 4.744355e-04 1.971166e-06
98 1.672563e+00 -1.380522e-02 4.744734e-04 1.971747e-06
99 1.658110e+00 -1.394029e-02 4.743461e-04 1.972347e-06
100 1.644028e+00 -1.406818e-02 4.740533e-04 1.972969e-06
101 1.630299e+00 -1.418880e-02 4.735948e-04 1.973617e-06
102 1.616906e+00 -1.430209e-02 4.729707e-04 1.974295e-06
103 1.603831e+00 -1.440797e-02 4.721805e-04 1.975005e-06
